Base Word;Translate (uzbek);Guideword;Level;Part of Speech;Topic;Details;;
puzzle;;SITUATION;C2;noun;;Details;;
quarter;;PART OF TOWN;C2;noun;;Details;;
raid;;SOLDIERS;C2;noun;;Details;;
rail;;FOR SUPPORTING;C2;noun;;Details;;
rally;;MEETING;C2;noun;;Details;;
record;;BEHAVIOUR;C2;noun;;Details;;
reserve;;SUPPLY;C2;noun;;Details;;
rhyme;;POEM;C2;noun;;Details;;
ribbon;;;C2;noun;;Details;;
ritual;;;C2;noun;;Details;;
roar;;;C2;noun;;Details;;
rocket;;WEAPON;C2;noun;;Details;;
round;;DRINKS;C2;noun;;Details;;
route;;METHOD;C2;noun;;Details;;
sail;;MATERIAL;C2;noun;;Details;;
scenario;;;C2;noun;;Details;;
scene;;ARGUMENT;C2;noun;;Details;;
shade;;COVER;C2;noun;;Details;;
shield;;OBJECT;C2;noun;;Details;;
shock;;ELECTRICITY;C2;noun;;Details;;
side effect;;RESULT;C2;noun;;Details;;
siren;;;C2;noun;;Details;;
sketch;;DESCRIPTION;C2;noun;;Details;;
spade;;;C2;noun;;Details;;
spark;;FIRE;C2;noun;;Details;;
specimen;;;C2;noun;;Details;;
spectrum;;COLOURS;C2;noun;;Details;;
splash;;DROP OF LIQUID;C2;noun;;Details;;
stance;;;C2;noun;;Details;;
stand;;FURNITURE;C2;noun;;Details;;
standpoint;;;C2;noun;;Details;;
start;;ADVANTAGE;C2;noun;;Details;;
strand;;THREAD;C2;noun;;Details;;
stroke;;MOVEMENT;C2;noun;;Details;;
summit;;MEETING;C2;noun;;Details;;
supplement;;;C2;noun;;Details;;
symptom;;PROBLEM;C2;noun;;Details;;
synonym;;;C2;noun;;Details;;
tank;;CONTAINER;C2;noun;;Details;;
tenant;;;C2;noun;;Details;;
thread;;CONNECTION;C2;noun;;Details;;
threshold;;LEVEL;C2;noun;;Details;;
timber;;PIECE OF WOOD;C2;noun;;Details;;
touch;;SMALL DETAIL;C2;noun;;Details;;
treasure;;VALUABLE OBJECT;C2;noun;;Details;;
treaty;;;C2;noun;;Details;;
truth;;TRUE FACT;C2;noun;;Details;;
urge;;;C2;noun;;Details;;
veteran;;MILITARY PERSON;C2;noun;;Details;;
vice;;;C2;noun;;Details;;
virgin;;;C2;noun;;Details;;
virtue;;GOOD QUALITY;C2;noun;;Details;;
volume;;BOOK;C2;noun;;Details;;
vow;;;C2;noun;;Details;;
wave;;GROUP;C2;noun;;Details;;
whim;;;C2;noun;;Details;;
wish;;SECRET;C2;noun;;Details;;
order;;CORRECT BEHAVIOUR;C2;noun;;Details;;
output;;;C2;noun;;Details;;
peer pressure;;;C2;noun;;Details;;
pressure;;FORCE;C2;noun;;Details;;
purpose;;INTENTION;C2;noun;;Details;;
pursuit;;;C2;noun;;Details;;
range;;DISTANCE;C2;noun;;Details;;
recovery;;GET BACK;C2;noun;;Details;;
refuge;;;C2;noun;;Details;;
relief;;LESS PAIN;C2;noun;;Details;;
remorse;;;C2;noun;;Details;;
ruin;;LOSING EVERYTHING;C2;noun;;Details;;
rule;;LEADER;C2;noun;;Details;;
scope;;OPPORTUNITY;C2;noun;;Details;;
scrutiny;;;C2;noun;;Details;;
silence;;NO TALKING;C2;noun;;Details;;
slaughter;;;C2;noun;;Details;;
spice;;EXCITEMENT;C2;noun;;Details;;
stardom;;;C2;noun;;Details;;
strength;;INFLUENCE;C2;noun;;Details;;
suspense;;;C2;noun;;Details;;
sympathy;;IDEAS;C2;noun;;Details;;
territory;;AREA OF KNOWLEDGE;C2;noun;;Details;;
theory;;PRINCIPLES;C2;noun;;Details;;
tomorrow;;FUTURE;C2;noun;;Details;;
trouble;;NOT WORKING;C2;noun;;Details;;
upkeep;;;C2;noun;;Details;;
view;;POSITION;C2;noun;;Details;;
violence;;EXTREME FORCE;C2;noun;;Details;;
welfare;;CARE;C2;noun;;Details;;
worship;;;C2;noun;;Details;;
wreckage;;;C2;noun;;Details;;
xenophobia;;;C2;noun;;Details;;
omission;;;C2;noun;;Details;;
portrayal;;;C2;noun;;Details;;
practice;;ACTIVITY;C2;noun;;Details;;
precedent;;;C2;noun;;Details;;
principle;;MORAL RULE;C2;noun;;Details;;
rivalry;;;C2;noun;;Details;;
script;;LETTERS;C2;noun;;Details;;
splendour;;;C2;noun;;Details;;
stimulus;;;C2;noun;;Details;;
surplus;;;C2;noun;;Details;;
trauma;;;C2;noun;;Details;;
talks;;;C2;noun;;Details;;
troops;;;C2;noun;;Details;;
outlook;;THINKING;C2;noun;;Details;;
prospect;;IDEA;C2;noun;;Details;;
read;;;C2;noun;;Details;;
rush;;ACTIVITY;C2;noun;;Details;;
slice;;PART;C2;noun;;Details;;
thought;;CARE;C2;noun;;Details;;
threat;;POSSIBILITY;C2;noun;;Details;;
toll;;NUMBER;C2;noun;;Details;;
tone;;MOOD;C2;noun;;Details;;
way;;FREE SPACE;C2;noun;;Details;;
pay;;SUFFER;C2;verb;;Details;;
persist;;CONTINUE TO EXIST;C2;verb;;Details;;
progress;;CONTINUE;C2;verb;;Details;;
prosper;;;C2;verb;;Details;;
rage;;SPEAK;C2;verb;;Details;;
riot;;;C2;verb;;Details;;
shake;;VOICE;C2;verb;;Details;;
shine;;DO WELL;C2;verb;;Details;;
slip;;OUT OF POSITION;C2;verb;;Details;;
soar;;INCREASE;C2;verb;;Details;;
squeak;;;C2;verb;;Details;;
stumble;;FALL;C2;verb;;Details;;
submit;;OBEY;C2;verb;;Details;;
threaten;;HAPPEN;C2;verb;;Details;;
tick;;CLOCK;C2;verb;;Details;;
offset;;;C2;verb;;Details;;
overhear;;;C2;verb;;Details;;
pinpoint;;;C2;verb;;Details;;
pity;;;C2;verb;;Details;;
press;;PERSUADE;C2;verb;;Details;;
provoke;;;C2;verb;;Details;;
recollect;;;C2;verb;;Details;;
reconcile;;MAKE AGREE;C2;verb;;Details;;
register;;SHOW A FEELING;C2;verb;;Details;;
relieve;;FROM PAIN;C2;verb;;Details;;
repair;;IMPROVE;C2;verb;;Details;;
retain;;;C2;verb;;Details;;
reveal;;SEE;C2;verb;;Details;;
rival;;;C2;verb;;Details;;
see;;BELIEVE;C2;verb;;Details;;
send;;MAKE HAPPEN;C2;verb;;Details;;
shape;;;C2;verb;;Details;;
sharpen;;MAKE SHARP;C2;verb;;Details;;
spur;;;C2;verb;;Details;;
stir;;FEEL;C2;verb;;Details;;
strike;;EFFECT;C2;verb;;Details;;
support;;HOLD;C2;verb;;Details;;
suppress;;FEELINGS;C2;verb;;Details;;
surround;;CONNECTED WITH;C2;verb;;Details;;
suspect;;NOT TRUST;C2;verb;;Details;;
sustain;;CONTINUE;C2;verb;;Details;;
swallow;;ACCEPT;C2;verb;;Details;;
swear;;??????;C2;verb;;Details;;
target;;;C2;verb;;Details;;
thrill;;;C2;verb;;Details;;
time;;DECIDE WHEN;C2;verb;;Details;;
tolerate;;DEAL WITH;C2;verb;;Details;;
top;;MOST IMPORTANT;C2;verb;;Details;;
undermine;;;C2;verb;;Details;;
uphold;;AGREE;C2;verb;;Details;;
use;;PERSON;C2;verb;;Details;;
value;;MONEY;C2;verb;;Details;;
wear;;FACE;C2;verb;;Details;;
wield;;;C2;verb;;Details;;
withstand;;;C2;verb;;Details;;
overflow;;CONTENTS;C2;verb;;Details;;
overlap;;;C2;verb;;Details;;
peel;;COVERING;C2;verb;;Details;;
pop;;SOUND;C2;verb;;Details;;
prosecute;;;C2;verb;;Details;;
rot;;;C2;verb;;Details;;
shrug;;;C2;verb;;Details;;
signal;;;C2;verb;;Details;;
speculate;;;C2;verb;;Details;;
suck;;;C2;verb;;Details;;
weaken;;LOSE CONFIDENCE;C2;verb;;Details;;
war;;TO STOP;C2;noun;;Details;;
shattered;;TIRED;C2;adjective;body and health;Details;;
pathetic;;BAD;C2;adjective;describing things;Details;;
tiresome;;;C2;adjective;describing things;Details;;
part;;LEAVE;C2;verb;relationships;Details;;
undesirable;;;C2;adjective;;Details;;
undue;;;C2;adjective;;Details;;
useless;;PERSON;C2;adjective;;Details;;
paramount;;;C2;adjective;;Details;;
thereafter;;;C2;adverb;;Details;;
whereby;;;C2;adverb;;Details;;
posh;;HIGH CLASS;C2;adjective;;Details;;
wretched;;UNHAPPY;C2;adjective;;Details;;
unethical;;;C2;adjective;people: personality;Details;;
unbalanced;;MENTALLY ILL;C2;adjective;body and health;Details;;
unscrupulous;;;C2;adjective;people: personality;Details;;
reproduce;;PRODUCE YOUNG;C2;verb;natural world;Details;;
uneven;;;C2;adjective;describing things;Details;;
unwise;;;C2;adjective;people: personality;Details;;
respectable;;ENOUGH;C2;adjective;describing things;Details;;
viable;;;C2;adjective;describing things;Details;;
sensational;;EXCITING;C2;adjective;describing things;Details;;
residential;;COURSE/JOB;C2;adjective;education;Details;;
torrential;;;C2;adjective;natural world;Details;;
philosophical;;CALM;C2;adjective;people: personality;Details;;
practical;;GOOD AT PLANNING;C2;adjective;people: personality;Details;;
sceptical;;;C2;adjective;people: personality;Details;;
sentimental;;FEELING;C2;adjective;people: personality;Details;;
stereotypical;;;C2;adjective;people: personality;Details;;
superficial;;NOT SERIOUS;C2;adjective;people: personality;Details;;
recreational;;;C2;adjective;shopping;Details;;
self-reliant;;;C2;adjective;people: personality;Details;;
short-sighted;;SIGHT;C2;adjective;body and health;Details;;
wrinkled;;;C2;adjective;body and health;Details;;
secluded;;;C2;adjective;describing things;Details;;
reserved;;;C2;adjective;people: personality;Details;;
self-assured;;;C2;adjective;people: personality;Details;;
stunned;;;C2;adjective;people: personality;Details;;
persistent;;;C2;adjective;people: personality;Details;;
pitiful;;;C2;adjective;describing things;Details;;
resourceful;;;C2;adjective;people: personality;Details;;
tactful;;;C2;adjective;people: personality;Details;;
reversible;;CLOTHES;C2;adjective;clothes;Details;;
poetic;;;C2;adjective;communication;Details;;
sarcastic;;;C2;adjective;people: personality;Details;;
off-putting;;;C2;adjective;describing things;Details;;
soothing;;;C2;adjective;describing things;Details;;
thriving;;;C2;adjective;describing things;Details;;
transmission;;BROADCAST;C2;noun;arts and media;Details;;
vaccination;;;C2;noun;body and health;Details;;
representation;;SPEAKING FOR;C2;noun;crime;Details;;
qualification;;SKILLS;C2;noun;people: personality;Details;;
snobbish;;;C2;adjective;people: personality;Details;;
perceptive;;;C2;adjective;people: personality;Details;;
receptive;;;C2;adjective;people: personality;Details;;
spotless;;;C2;adjective;describing things;Details;;
tasteless;;UGLY;C2;adjective;describing things;Details;;
restless;;NOT SATISFIED;C2;adjective;people: personality;Details;;
ruthless;;;C2;adjective;people: personality;Details;;
tactless;;;C2;adjective;people: personality;Details;;
thoughtless;;;C2;adjective;people: personality;Details;;
respectfully;;;C2;adverb;people: personality;Details;;
tragically;;;C2;adverb;people: personality;Details;;
vivacious;;;C2;adjective;people: personality;Details;;
rosy;;PINK;C2;adjective;body and health;Details;;
scruffy;;;C2;adjective;describing things;Details;;
pushy;;;C2;adjective;people: personality;Details;;
rocky;;RELATIONSHIP;C2;adjective;relationships;Details;;
on;;PERFORMING;C2;adverb;arts and media;Details;;
trio;;;C2;noun;arts and media;Details;;
plump;;;C2;adjective;body and health;Details;;
positive;;MEDICAL TEST;C2;adjective;body and health;Details;;
sane;;;C2;adjective;body and health;Details;;
side;;BODY;C2;noun;body and health;Details;;
stitch;;WOUND;C2;noun;body and health;Details;;
scar;;;C2;verb;body and health;Details;;
plead;;ASK;C2;verb;communication;Details;;
voice;;;C2;verb;communication;Details;;
quaint;;;C2;adjective;describing things;Details;;
sober;;NOT BRIGHT;C2;adjective;describing things;Details;;
swift;;;C2;adjective;describing things;Details;;
tight;;STRAIGHT;C2;adjective;describing things;Details;;
tough;;STRONG;C2;adjective;describing things;Details;;
troublesome;;;C2;adjective;describing things;Details;;
versatile;;THING;C2;adjective;describing things;Details;;
tender;;FOOD;C2;adjective;food and drink;Details;;
share;;BUSINESS;C2;noun;money;Details;;
wild;;WEATHER;C2;adjective;natural world;Details;;
seduce;;SEX;C2;verb;people: actions;Details;;
plain;;PERSON;C2;adjective;people: appearance;Details;;
open;;HONEST;C2;adjective;people: personality;Details;;
serene;;;C2;adjective;people: personality;Details;;
shallow;;NOT SERIOUS;C2;adjective;people: personality;Details;;
shrewd;;;C2;adjective;people: personality;Details;;
sick;;CRUEL;C2;adjective;people: personality;Details;;
stern;;;C2;adjective;people: personality;Details;;
stiff;;FORMAL;C2;adjective;people: personality;Details;;
superior;;OPINION;C2;adjective;people: personality;Details;;
timid;;;C2;adjective;people: personality;Details;;
??????;;SINCERE;C2;adjective;people: personality;Details;;
vain;;APPEARANCE;C2;adjective;people: personality;Details;;
wary;;;C2;adjective;people: personality;Details;;
wicked;;;C2;adjective;people: personality;Details;;
willing;;WANTING;C2;adjective;people: personality;Details;;
withdrawn;;;C2;adjective;people: personality;Details;;
right-wing;;;C2;adjective;politics;Details;;
totalitarian;;;C2;adjective;politics;Details;;
turnover;;EMPLOYEES;C2;noun;work;Details;;
unattainable;;;C2;adjective;;Details;;
unfavourable;;CRITICIZING;C2;adjective;;Details;;
unimaginable;;;C2;adjective;;Details;;
unsustainable;;HARMFUL TO THE ENVIRONMENT;C2;adjective;;Details;;
unconditional;;;C2;adjective;;Details;;
unaffected;;;C2;adjective;;Details;;
unbiased;;;C2;adjective;;Details;;
undeveloped;;;C2;adjective;;Details;;
undoubted;;;C2;adjective;;Details;;
uninhabited;;;C2;adjective;;Details;;
unprecedented;;;C2;adjective;;Details;;
uneventful;;;C2;adjective;;Details;;
reproduction;;YOUNG;C2;noun;;Details;;
unlikely;;NOT TRUE;C2;adjective;;Details;;
unavoidably;;;C2;adverb;;Details;;
unconsciously;;;C2;adverb;;Details;;
undeniably;;;C2;adverb;;Details;;
unconscious;;NOT AWARE;C2;adjective;;Details;;
questionable;;NOT CERTAIN;C2;adjective;;Details;;
renewable;;OFFICIAL AGREEMENT;C2;adjective;;Details;;
vulnerable;;;C2;adjective;;Details;;
paradoxical;;;C2;adjective;;Details;;
phenomenal;;;C2;adjective;;Details;;
physical;;THINGS;C2;adjective;;Details;;
provincial;;;C2;adjective;;Details;;
structural;;;C2;adjective;;Details;;
territorial;;;C2;adjective;;Details;;
theoretical;;NOT PROVED;C2;adjective;;Details;;
tribal;;;C2;adjective;;Details;;
verbal;;WORDS;C2;adjective;;Details;;
vocational;;;C2;adjective;;Details;;
revival;;;C2;noun;;Details;;
predominant;;;C2;adjective;;Details;;
redundant;;NOT NEEDED;C2;adjective;;Details;;
privileged;;OPPORTUNITY;C2;adjective;;Details;;
refined;;POLITE;C2;adjective;;Details;;
renowned;;;C2;adjective;;Details;;
repeated;;;C2;adjective;;Details;;
scattered;;;C2;adjective;;Details;;
stranded;;;C2;adjective;;Details;;
structured;;;C2;adjective;;Details;;
twisted;;STRANGE;C2;adjective;;Details;;
underdeveloped;;;C2;adjective;;Details;;
resilient;;;C2;adjective;;Details;;
tasteful;;;C2;adjective;;Details;;
thoughtful;;QUIET;C2;adjective;;Details;;
plausible;;;C2;adjective;;Details;;
tangible;;;C2;adjective;;Details;;
pragmatic;;;C2;adjective;;Details;;
romantic;;IDEAS;C2;adjective;;Details;;
symbolic;;;C2;adjective;;Details;;
sympathetic;;IDEAS;C2;adjective;;Details;;
systematic;;;C2;adjective;;Details;;
traumatic;;;C2;adjective;;Details;;
ongoing;;;C2;adjective;;Details;;
outgoing;;LEAVING A PLACE;C2;adjective;;Details;;
underlying;;;C2;adjective;;Details;;
possessive;;FEELINGS;C2;adjective;;Details;;
preventive;;;C2;adjective;;Details;;
restrictive;;;C2;adjective;;Details;;
successive;;;C2;adjective;;Details;;
reckless;;;C2;adjective;;Details;;
relentless;;;C2;adjective;;Details;;
senseless;;;C2;adjective;;Details;;
worthless;;MONEY;C2;adjective;;Details;;
regardless;;;C2;adverb;;Details;;
predominantly;;;C2;adverb;;Details;;
profoundly;;;C2;adverb;;Details;;
realistically;;ACCEPTING FACTS;C2;adverb;;Details;;
relentlessly;;;C2;adverb;;Details;;
roughly;;FORCEFULLY;C2;adverb;;Details;;
scarcely;;;C2;adverb;;Details;;
smoothly;;WITHOUT SUDDEN MOVEMENTS;C2;adverb;;Details;;
sparsely;;;C2;adverb;;Details;;
spiritually;;;C2;adverb;;Details;;
strategically;;;C2;adverb;;Details;;
subconsciously;;;C2;adverb;;Details;;
superficially;;;C2;adverb;;Details;;
swiftly;;;C2;adverb;;Details;;
systematically;;;C2;adverb;;Details;;
technically;;DETAIL;C2;adverb;;Details;;
theoretically;;;C2;adverb;;Details;;
thoughtfully;;;C2;adverb;;Details;;
ultimately;;EMPHASIS;C2;adverb;;Details;;
unanimously;;;C2;adverb;;Details;;
vaguely;;;C2;adverb;;Details;;
visibly;;;C2;adverb;;Details;;
vitally;;;C2;adverb;;Details;;
voluntarily;;;C2;adverb;;Details;;
wholeheartedly;;;C2;adverb;;Details;;
wholly;;;C2;adverb;;Details;;
wildly;;EXTREMELY;C2;adverb;;Details;;
strenuous;;;C2;adjective;;Details;;
superfluous;;;C2;adjective;;Details;;
synonymous;;CONNECTED;C2;adjective;;Details;;
unanimous;;;C2;adjective;;Details;;
vicious;;VIOLENT;C2;adjective;;Details;;
petty;;;C2;adjective;;Details;;
shabby;;UNFAIR;C2;adjective;;Details;;
smoky;;;C2;adjective;;Details;;
squeaky;;SOUND;C2;adjective;;Details;;
orthodox;;RELIGION;C2;adjective;;Details;;
overnight;;SUDDENLY;C2;adjective;;Details;;
perfect;;TO EMPHASIZE;C2;adjective;;Details;;
popular;;MANY PEOPLE;C2;adjective;;Details;;
premium;;;C2;adjective;;Details;;
prime;;MAIN;C2;adjective;;Details;;
profound;;VERY GREAT;C2;adjective;;Details;;
prominent;;EASY TO SEE;C2;adjective;;Details;;
remote;;TIME;C2;adjective;;Details;;
rigid;;;C2;adjective;;Details;;
routine;;BORING;C2;adjective;;Details;;
sacred;;IMPORTANT;C2;adjective;;Details;;
secure;;NOT FAIL;C2;adjective;;Details;;
sedentary;;;C2;adjective;;Details;;
self-made;;;C2;adjective;;Details;;
self-sufficient;;;C2;adjective;;Details;;
set;;;C2;adjective;;Details;;
shaken;;;C2;adjective;;Details;;
sheer;;STEEP;C2;adjective;;Details;;
slender;;;C2;adjective;;Details;;
slim;;SMALL;C2;adjective;;Details;;
smooth;;MOVEMENT;C2;adjective;;Details;;
solid;;CERTAIN;C2;adjective;;Details;;
solitary;;ONLY;C2;adjective;;Details;;
still;;WATER/AIR;C2;adjective;;Details;;
strict;;EXACT;C2;adjective;;Details;;
subject;;STORY/PAINTING;C2;adjective;;Details;;
subtle;;NOT OBVIOUS;C2;adjective;;Details;;
supplementary;;;C2;adjective;;Details;;
turbulent;;;C2;adjective;;Details;;
underway;;HAPPENING;C2;adjective;;Details;;
vague;;NOT THINKING;C2;adjective;;Details;;
very;;;C2;adjective;;Details;;
weary;;TIRED;C2;adjective;;Details;;
white;;FACE;C2;adjective;;Details;;
would-be;;;C2;adjective;;Details;;
out;;FAR AWAY;C2;adverb;;Details;;
overboard;;;C2;adverb;;Details;;
reportedly;;;C2;adverb;;Details;;
right;;ALL;C2;adverb;;Details;;
sideways;;;C2;adverb;;Details;;
together;;IN ONE PLACE;C2;adverb;;Details;;
uphill;;TOP OF HILL;C2;adverb;;Details;;
whenever;;;C2;adverb;;Details;;
whereabouts;;;C2;adverb;;Details;;
whole;;;C2;adverb;;Details;;
passage;;PROGRESS;C2;noun;;Details;;
produce;;;C2;noun;;Details;;
province;;;C2;noun;;Details;;
sentiment;;;C2;noun;;Details;;
sequence;;SERIES;C2;noun;;Details;;
sin;;RELIGION;C2;noun;;Details;;
slap;;;C2;noun;;Details;;
treat;;;C2;noun;;Details;;
turmoil;;;C2;noun;;Details;;
workforce;;COUNTRY;C2;noun;;Details;;
overlook;;NOT NOTICE;C2;verb;;Details;;
revive;;;C2;verb;;Details;;
seal;;CLOSE ENTRANCE;C2;verb;;Details;;
surrender;;;C2;verb;;Details;;
yield;;;C2;verb;;Details;;
violent;;DAMAGE;C2;adjective;;Details;;
after;;NAMED FOR;C2;preposition;;Details;;
amid;;AMONG;C2;preposition;;Details;;
before;;IMPORTANCE;C2;preposition;;Details;;
behind;;NOT AFFECTING;C2;preposition;;Details;;
beneath;;NOT GOOD ENOUGH;C2;preposition;;Details;;
in;;CAUSE;C2;preposition;;Details;;
inside;;TIME;C2;preposition;;Details;;
it;;EMPHASIZE;C2;pronoun;;Details;;
unlike;;NOT TYPICAL;C2;preposition;;Details;;
over;;CONTROL;C2;preposition;;Details;;
such;;;C2;pronoun;;Details;;
get sth off your chest;;IDIOM;C2;phrase;communication;Details;;
get a move on;;;C2;phrase;people: actions;Details;;
in attendance;;;C2;phrase;;Details;;
take exception to sth;;;C2;phrase;;Details;;
be at liberty to do sth;;;C2;phrase;;Details;;
excel yourself;;;C2;phrase;;Details;;
be endowed with sth;;;C2;phrase;;Details;;
drive/send sb round the bend;;IDIOM;C2;phrase;;Details;;
be in sb's good/bad books;;IDIOM;C2;phrase;;Details;;
have a chip on your shoulder;;IDIOM;C2;phrase;;Details;;
down the drain;;IDIOM;C2;phrase;;Details;;
be down in the dumps;;IDIOM;C2;phrase;;Details;;
keep your fingers crossed/ cross your fingers;;IDIOM;C2;phrase;;Details;;
tie the knot;;IDIOM;C2;phrase;;Details;;
blow your mind;;IDIOM;C2;phrase;;Details;;
poke/stick your nose into sth;;IDIOM;C2;phrase;;Details;;
turn your nose up at sth;;IDIOM;C2;phrase;;Details;;
do sb a/the world of good;;;C2;phrase;;Details;;
be news to sb;;IDIOM;C2;phrase;;Details;;
odds and ends;;;C2;phrase;;Details;;
go with the flow;;IDIOM;C2;phrase;;Details;;
you have to hand it to sb;;;C2;phrase;;Details;;
make a run for it;;;C2;phrase;;Details;;
hit the roof;;IDIOM;C2;phrase;;Details;;
make a splash;;IDIOM;C2;phrase;;Details;;
kick yourself;;;C2;phrase;;Details;;
darkness/night falls;;;C2;phrase;;Details;;
a/one hell of a;;;C2;phrase;;Details;;
like hell;;;C2;phrase;;Details;;
play sth by ear;;;C2;phrase;arts and media;Details;;
pull a muscle;;;C2;phrase;body and health;Details;;
No comment.;;;C2;phrase;communication;Details;;
round of applause;;;C2;phrase;communication;Details;;
under your breath;;;C2;phrase;communication;Details;;
in all honesty;;;C2;phrase;communication;Details;;
come to think of it;;;C2;phrase;communication;Details;;
I don't blame him/them/you, etc.;;;C2;phrase;communication;Details;;
make sth public;;;C2;phrase;communication;Details;;
you name it;;;C2;phrase;communication;Details;;
back to front;;;C2;phrase;describing things;Details;;
a breath of fresh air;;IDIOM;C2;phrase;describing things;Details;;
a bite (to eat);;;C2;phrase;food and drink;Details;;
tighten your belt;;IDIOM;C2;phrase;money;Details;;
the animal/plant kingdom;;;C2;phrase;natural world;Details;;
thread a needle;;;C2;phrase;people: actions;Details;;
march off/up/down, etc.;;;C2;phrase;people: actions;Details;;
make a start;;;C2;phrase;people: actions;Details;;
be on edge;;;C2;phrase;people: personality;Details;;
frame of mind;;;C2;phrase;people: personality;Details;;
a bad/good, etc. judge of sth;;;C2;phrase;people: personality;Details;;
ill at ease;;;C2;phrase;people: personality;Details;;
in cold blood;;IDIOM;C2;phrase;people: personality;Details;;
fear the worst;;;C2;phrase;people: personality;Details;;
be bursting with confidence/joy, etc.;;;C2;phrase;people: personality;Details;;
(be) on the line;;IDIOM;C2;phrase;work;Details;;
make your way;;;C2;phrase;work;Details;;
at a disadvantage;;;C2;phrase;;Details;;
be misunderstood;;;C2;phrase;;Details;;
make allowances for sb/sth;;;C2;phrase;;Details;;
in confidence;;;C2;phrase;;Details;;
in conjunction with sth/sb;;;C2;phrase;;Details;;
on occasion(s);;;C2;phrase;;Details;;
in anticipation (of);;;C2;phrase;;Details;;
be the centre of attention;;;C2;phrase;;Details;;
an invasion of privacy;;;C2;phrase;;Details;;
arm in arm;;;C2;phrase;;Details;;
behind sb's back;;;C2;phrase;;Details;;
turn your back on sb/sth;;;C2;phrase;;Details;;
into the bargain;;;C2;phrase;;Details;;
keep/hold sth at bay;;;C2;phrase;;Details;;
your best bet;;;C2;phrase;;Details;;
a safe bet;;;C2;phrase;;Details;;
bits and pieces;;;C2;phrase;;Details;;
body and soul;;;C2;phrase;;Details;;
a book of stamps/tickets, etc.;;;C2;phrase;;Details;;
the bush;;;C2;phrase;;Details;;
the turn of the century;;;C2;phrase;;Details;;
around/round the corner;;;C2;phrase;;Details;;
a drain on sth;;;C2;phrase;;Details;;
have the edge on/over sb/sth;;;C2;phrase;;Details;;
an element of sth;;;C2;phrase;;Details;;
turn of events;;;C2;phrase;;Details;;
a/the prime example;;;C2;phrase;;Details;;
cry your eyes out;;;C2;phrase;;Details;;
eye contact;;;C2;phrase;;Details;;
the naked eye;;;C2;phrase;;Details;;
in your mind's eye;;;C2;phrase;;Details;;
roll your eyes;;;C2;phrase;;Details;;
deciding factor;;;C2;phrase;;Details;;
be no mean feat;;;C2;phrase;;Details;;
single/double, etc. figures;;;C2;phrase;;Details;;
have/keep your finger on the pulse;;;C2;phrase;;Details;;
burst into flames;;;C2;phrase;;Details;;
a flight of stairs/steps;;;C2;phrase;;Details;;
get/rise to your feet;;;C2;phrase;;Details;;
be on (good) form;;;C2;phrase;;Details;;
a gap in the market;;;C2;phrase;;Details;;
make a go of sth;;;C2;phrase;;Details;;
an educated guess;;;C2;phrase;;Details;;
with your bare hands;;;C2;phrase;;Details;;
on hand or to hand;;;C2;phrase;;Details;;
at the hands of sb;;;C2;phrase;;Details;;
get/lay your hands on sth;;;C2;phrase;;Details;;
in hand;;;C2;phrase;;Details;;
take the law into your own hands;;;C2;phrase;;Details;;
laugh/shout/scream, etc. your head off;;;C2;phrase;;Details;;
a roof over your head;;;C2;phrase;;Details;;
a hint of sth;;;C2;phrase;;Details;;
the early/small hours;;;C2;phrase;;Details;;
add insult to injury;;;C2;phrase;;Details;;
at issue;;;C2;phrase;;Details;;
one of a kind;;;C2;phrase;;Details;;
teach sb a lesson;;;C2;phrase;;Details;;
within limits;;;C2;phrase;;Details;;
off limits;;;C2;phrase;;Details;;
the upper limit;;;C2;phrase;;Details;;
along the lines of sth;;;C2;phrase;;Details;;
be in line with sth;;;C2;phrase;;Details;;
sb's line of reasoning/thinking, etc.;;;C2;phrase;;Details;;
toe the line;;;C2;phrase;;Details;;
margin of error;;;C2;phrase;;Details;;
a mark of sth;;;C2;phrase;;Details;;
have sth on your mind;;;C2;phrase;;Details;;
spring to mind;;;C2;phrase;;Details;;
speak your mind;;;C2;phrase;;Details;;
cast your mind back;;;C2;phrase;;Details;;
peace of mind;;;C2;phrase;;Details;;
presence of mind;;;C2;phrase;;Details;;
the minute (that);;;C2;phrase;;Details;;
(keep sb) at arm's length;;IDIOM;C2;phrase;;Details;;
be (like) water off a duck's back;;IDIOM;C2;phrase;;Details;;
set/start the ball rolling;;IDIOM;C2;phrase;;Details;;
recharge your batteries;;IDIOM;C2;phrase;;Details;;
ring a bell;;IDIOM;C2;phrase;;Details;;
rock the boat;;IDIOM;C2;phrase;;Details;;
be in the same boat;;IDIOM;C2;phrase;;Details;;
miss the boat;;IDIOM;C2;phrase;;Details;;
keep body and soul together;;IDIOM;C2;phrase;;Details;;
do sth by the book;;IDIOM;C2;phrase;;Details;;
be on the cards;;IDIOM;C2;phrase;;Details;;
a tight corner;;IDIOM;C2;phrase;;Details;;
leave someone to their own devices;;IDIOM;C2;phrase;;Details;;
behind closed doors;;IDIOM;C2;phrase;;Details;;
beyond your wildest dreams;;IDIOM;C2;phrase;;Details;;
not/never in your wildest dreams;;IDIOM;C2;phrase;;Details;;
play it by ear;;IDIOM;C2;phrase;;Details;;
fall on deaf ears;;IDIOM;C2;phrase;;Details;;
catch sb's eye;;IDIOM;C2;phrase;;Details;;
